GPIO_PIN_INTERRUPT_ISEL,0,8,PMODE,Selects the interrupt mode for each pin interrupt,0,rw
GPIO_PIN_INTERRUPT_IENR,0,8,ENRL,Enables the rising edge or level interrupt for each pin interrupt,0,rw
GPIO_PIN_INTERRUPT_SIENR,0,8,SETENRL,"Ones written to this address set bits in the IENR, thus enabling interrupts",,w
GPIO_PIN_INTERRUPT_CIENR,0,8,CENRL,"Ones written to this address clear bits in the IENR, thus disabling the interrupts",,w
GPIO_PIN_INTERRUPT_IENF,0,8,ENAF,Enables the falling edge or configures the active level interrupt for each pin interrupt,0,rw
GPIO_PIN_INTERRUPT_SIENF,0,8,SETENAF,"Ones written to this address set bits in the IENF, thus enabling interrupts",,w
GPIO_PIN_INTERRUPT_CIENF,0,8,CENAF,"Ones written to this address clears bits in the IENF, thus disabling interrupts",,w
GPIO_PIN_INTERRUPT_RISE,0,8,RDET,Rising edge detect,0,rw
GPIO_PIN_INTERRUPT_FALL,0,8,FDET,Falling edge detect,0,rw
GPIO_PIN_INTERRUPT_IST,0,8,PSTAT,Pin interrupt status,0,rw
GPIO_GROUP0_INTERRUPT_CTRL,0,1,INT,Group interrupt status,0,rw
GPIO_GROUP0_INTERRUPT_CTRL,1,1,COMB,Combine enabled inputs for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_CTRL,2,1,TRIG,Group interrupt trigger,0,rw
GPIO_GROUP0_INTERRUPT_PORT_POL0,0,32,POL,Configure pin polarity of port 0 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_POL1,0,32,POL,Configure pin polarity of port 1 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_POL2,0,32,POL,Configure pin polarity of port 2 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_POL3,0,32,POL,Configure pin polarity of port 3 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_POL4,0,32,POL,Configure pin polarity of port 4 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_POL5,0,32,POL,Configure pin polarity of port 5 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_POL6,0,32,POL,Configure pin polarity of port 6 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_POL7,0,32,POL,Configure pin polarity of port 7 pins for group interrupt,1,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA0,0,32,ENA,Enable port 0 pin for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA1,0,32,ENA,Enable port 1 pin for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA2,0,32,ENA,Enable port 2 pin for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA3,0,32,ENA,Enable port 3 pin for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA4,0,32,ENA,Enable port 4 pin for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA5,0,32,ENA,Enable port 5 pin for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA6,0,32,ENA,Enable port 6 pin for group interrupt,0,rw
GPIO_GROUP0_INTERRUPT_PORT_ENA7,0,32,ENA,Enable port 7 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_CTRL,0,1,INT,Group interrupt status,0,rw
GPIO_GROUP1_INTERRUPT_CTRL,1,1,COMB,Combine enabled inputs for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_CTRL,2,1,TRIG,Group interrupt trigger,0,rw
GPIO_GROUP1_INTERRUPT_PORT_POL0,0,32,POL,Configure pin polarity of port 0 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_POL1,0,32,POL,Configure pin polarity of port 1 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_POL2,0,32,POL,Configure pin polarity of port 2 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_POL3,0,32,POL,Configure pin polarity of port 3 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_POL4,0,32,POL,Configure pin polarity of port 4 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_POL5,0,32,POL,Configure pin polarity of port 5 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_POL6,0,32,POL,Configure pin polarity of port 6 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_POL7,0,32,POL,Configure pin polarity of port 7 pins for group interrupt,1,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA0,0,32,ENA,Enable port 0 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA1,0,32,ENA,Enable port 1 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA2,0,32,ENA,Enable port 2 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA3,0,32,ENA,Enable port 3 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA4,0,32,ENA,Enable port 4 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA5,0,32,ENA,Enable port 5 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA6,0,32,ENA,Enable port 6 pin for group interrupt,0,rw
GPIO_GROUP1_INTERRUPT_PORT_ENA7,0,32,ENA,Enable port 7 pin for group interrupt,0,rw
GPIO_B0,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B1,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B2,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B3,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B4,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B5,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B6,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B7,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B8,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B9,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B10,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B11,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B12,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B13,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B14,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B15,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B16,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B17,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B18,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B19,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B20,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B21,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B22,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B23,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B24,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B25,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B26,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B27,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B28,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B29,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B30,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B31,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B32,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B33,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B34,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B35,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B36,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B37,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B38,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B39,0,1,PBYTE,GPIO port byte pin register,,rw
GPIO_B40,0,1,PBYTE,GPIO port byte pin register,,rw
